from_issue_key,to_issue_key,link_type,raw_link_type,direction
OFBIZ-11259,OFBIZ-11266,is broken by,Regression,inward
OFBIZ-11266,OFBIZ-11265,is blocked by,Blocker,inward
OFBIZ-11265,OFBIZ-10187,relates to,Reference,outward
OFBIZ-10837,OFBIZ-11261,is broken by,Regression,inward
OFBIZ-11259,OFBIZ-11266,breaks,Regression,outward
OFBIZ-10438,OFBIZ-11259,is broken by,Regression,inward
OFBIZ-10368,OFBIZ-11258,is caused by,Problem/Incident,inward
OFBIZ-11248,OFBIZ-11250,is related to,Reference,inward
OFBIZ-11248,OFBIZ-11250,relates to,Reference,outward
OFBIZ-11240,OFBIZ-6993,duplicates,Duplicate,outward
OFBIZ-1463,OFBIZ-11239,is related to,Reference,inward
OFBIZ-11192,OFBIZ-11237,is depended upon by,dependent,inward
OFBIZ-11236,OFBIZ-11344,relates to,Reference,outward
OFBIZ-11235,OFBIZ-6993,duplicates,Duplicate,outward
OFBIZ-9350,OFBIZ-11232,is part of,Incorporates,inward
OFBIZ-11232,OFBIZ-9996,relates to,Reference,outward
OFBIZ-7337,OFBIZ-11230,is broken by,Regression,inward
OFBIZ-11229,OFBIZ-5312,relates to,Reference,outward
OFBIZ-4361,OFBIZ-11229,is required by,Required,inward
OFBIZ-11354,OFBIZ-11229,is required by,Required,inward
OFBIZ-11213,OFBIZ-11201,relates to,Reference,outward
OFBIZ-10226,OFBIZ-11205,is depended upon by,dependent,inward
OFBIZ-11213,OFBIZ-11201,is related to,Reference,inward
OFBIZ-11199,OFBIZ-11152,is a clone of,Cloners,outward
OFBIZ-11197,OFBIZ-11306,depends upon,dependent,outward
OFBIZ-11195,OFBIZ-11306,depends upon,dependent,outward
OFBIZ-11192,OFBIZ-11237,depends upon,dependent,outward
OFBIZ-10636,OFBIZ-11183,Dependent,Dependent,inward
OFBIZ-10636,OFBIZ-11182,Dependent,Dependent,inward
OFBIZ-10636,OFBIZ-11180,Dependent,Dependent,inward
OFBIZ-11161,OFBIZ-11173,is broken by,Regression,inward
