issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
OFBIZ-10170,Creating new contactMechId while it can be available in service context,,,,,,,,0,0,6311,1,1
OFBIZ-10171,Implement and Apply Return Lookup,,,,,,,,0,0,560,1,1
OFBIZ-10172,GeoAssoc data is missing for Telangana state of India,,,,,,,,0,0,2367,1,1
OFBIZ-10173,Add/Modify Calender Event Screen is Broken,,,,,,,,0,0,3513,1,1
OFBIZ-10174,"With Rainbow theme, a scrollbar appears at bottom where it's not needed",,,,,,,,0,0,12239,1,1
OFBIZ-10175,rename the common-theme component directory,,,,,,,,0,0,9987,1,1
OFBIZ-10176,"Add an option ""All"" to show entities of all groups",,,,,,,,0,0,5617,1,1
OFBIZ-10177,Rainbow theme: bug in avatar.ftl when the last name does not exist,,,,,,,,0,0,1528,1,1
OFBIZ-10178,Add new property in EntitySaxReader which are administrable through the Backend-UI (Import XML-Data),,,,,,,,0,0,374,1,1
OFBIZ-10179,Update Bootstrap 4.0 library to stable version from bootstrap 4.0 beta-2,,,,,,,,0,0,11,1,1
OFBIZ-1018,Sort Enhancements Patch,,,,,,,,0,0,2097,1,1
OFBIZ-10180,See if we can easily update to Tomcat 9,,,,,,,,0,0,8346,1,1
OFBIZ-10181,"When completing communicationEvent through setCommEventComplete, if datetimeEnded is null, set it to nowTimestamp",,,,,,,,0,0,12094,1,1
OFBIZ-10182,Improvement in UI of various pages of ecommerce,,,,,,,,0,0,854,1,1
OFBIZ-10183,Error on My Portal > Request Overview Page,,,,,,,,0,0,3009,1,1
OFBIZ-10184,Exceptional error on click of View button in the party content in Account view screen in SFA component,,,,,,,,0,0,6110,1,1
OFBIZ-10185,Fix UI issue for error messages.,,,,,,,,0,0,8364,1,1
OFBIZ-10186,Configure official document templates for an organizational party,,,,,,,,0,0,10393,1,1
OFBIZ-10187,OWASP sanitizer breaks proper rendering of HTML code,,,,,,,,0,0,1164,1,1
