Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
2480,1,1,Clicking Edit on the Supplier Tab of a Product seems to do nothing?,Bug fixing / Maintenance,Trivial,1.6,A-50,0.0,1.6,0
2486,1,1,Click Expand or Colaspe All does not work as expected. ,Other,Trivial,1.6,A-94,0.0,1.6,0
2490,1,1,XHTML Validation. javascript function to select a row in a multirow form (needed to correct the markup of multiline forms),Other,Trivial,1.6,A-121,0.0,1.6,0
2494,1,1,"Shipping Method Type List - Form for creating new type is named ""Edit Shipment Method Type""",Bug fixing / Maintenance,Trivial,1.6,A-307,0.0,1.6,1
2497,1,1,Upgrade ConcurrentLinkedHashMap,Build & Release Engineering,Trivial,1.6,A-351,0.0,1.6,1
2499,1,1,The position attribute (at least center) does not work when used in a lookup called from another lookup,Other,Trivial,1.6,A-417,0.0,1.6,1
2528,1,1,Product Categories page without category name,Feature / Improvement Implementation,Trivial,1.6,A-407,0.0,1.6,1
2543,1,1,Spanish title of Catalog app is wrong,Bug fixing / Maintenance,Trivial,1.6,A-48,0.0,1.6,0
2547,1,1,"Security tag at screen ""Payments of Product Store"" with wrong syntax",Bug fixing / Maintenance,Trivial,1.6,A-136,0.0,1.6,1
2574,1,1,update rc scripts & README to include MaxPermSize,Documentation,Trivial,1.6,A-21,0.0,1.6,1
2575,1,1,Fixing The Old Doc Pages Image Links to Show the New OFBiz Logo,Documentation,Trivial,1.6,A-394,0.0,1.6,1
258,1,1,upgrade bsf to something a bit more modern,Bug fixing / Maintenance,Trivial,1.6,A-319,0.0,1.6,1
2594,1,1,"broken link in ""Framework Introduction Videos and Diagrams""",Bug fixing / Maintenance,Trivial,1.6,A-373,0.0,1.6,1
2628,1,1,Bad case to load WorkEffortUiLabels Properties,Bug fixing / Maintenance,Trivial,1.6,A-182,0.0,1.6,1
264,1,1,Remove Jasper Report from OFBIZ,Project / General Task,Trivial,1.6,A-44,0.0,1.6,0
265,1,1,Wrong classpath in Eclipse (.classpath file),Project / General Task,Trivial,1.6,A-102,0.0,1.6,0
2652,1,1,Preselect default country into drop down,Feature / Improvement Implementation,Trivial,1.6,A-372,0.0,1.6,0
2655,1,1,Service Engine can't display sendMail service,Bug fixing / Maintenance,Trivial,1.6,A-318,0.0,1.6,1
266,1,1,Author removing,Project / General Task,Trivial,1.6,A-298,0.0,1.6,0
2660,1,1,Product Store Email Setting with PARTY_EMAIL,Feature / Improvement Implementation,Trivial,1.6,A-82,0.0,1.6,0
2689,1,1,The online help navigation panel is too narrow,Other,Trivial,1.6,A-104,0.0,1.6,1
2692,1,1,Bug in a log of createUpdateShippingAddress service,Bug fixing / Maintenance,Trivial,1.6,A-377,0.0,1.6,1
27,1,1,Add new mime type for progressive jpegs,Feature / Improvement Implementation,Trivial,1.6,A-132,0.0,1.6,0
2705,1,1,Removal of duplicates between pt and pt_BR labels in framework/common/config,Feature / Improvement Implementation,Trivial,1.6,A-408,0.0,1.6,1
2721,1,1,Duplicate view map entry in controller.,Bug fixing / Maintenance,Trivial,1.6,A-383,0.0,1.6,1
2746,1,1,Be able to create a product from quick dropdown (Product Jump),Feature / Improvement Implementation,Trivial,1.6,A-133,0.0,1.6,1
2756,1,1,In product detail page the footer is stuck at left side and not centered,Other,Trivial,1.6,A-356,0.0,1.6,0
2770,1,1,"Add <compilerarg value=""-Xlint""/> to all build targets",Build & Release Engineering,Trivial,1.6,A-62,0.0,1.6,0
2772,1,1,Scaling image for every size type from ImageProperties.xml,Feature / Improvement Implementation,Trivial,1.6,A-242,0.0,1.6,1
2782,1,1,Invoice items should be sorted,Feature / Improvement Implementation,Trivial,1.6,A-317,0.0,1.6,0
2786,1,1,remove main program args[] from Config,Feature / Improvement Implementation,Trivial,1.6,A-261,0.0,1.6,0
2787,1,1,You must set at least a price with PURCHASE purpose to get a displayed price,Bug fixing / Maintenance,Trivial,1.6,A-15,0.0,1.6,0
2803,1,1,"Add ""MUNICIPALITY"" to getStateList's search condition to make ""municipality"" of china visible in state list",Build & Release Engineering,Trivial,1.6,A-210,0.0,1.6,1
2826,1,1,Help - Please give me Steps and Patch to Upgrade to Tomcat 7.0.1 from 5.5.20 in Apache Ofbiz,Build & Release Engineering,Trivial,1.6,A-66,0.0,1.6,1
2833,1,1,Go Back button does not take you where expected,Bug fixing / Maintenance,Trivial,1.6,A-370,0.0,1.6,1
2836,1,1,wrong link href of leaf node in a tree element,Bug fixing / Maintenance,Trivial,1.6,A-357,0.0,1.6,1
284,1,1,variable allocation without effect,Feature / Improvement Implementation,Trivial,1.6,A-83,0.0,1.6,1
2846,1,1,update tree widget xsd,Feature / Improvement Implementation,Trivial,1.6,A-107,0.0,1.6,1
2849,1,1,Filtering and Sorting of WebSite Path Aliases,Feature / Improvement Implementation,Trivial,1.6,A-14,0.0,1.6,1
285,1,1,Static access to,Feature / Improvement Implementation,Trivial,1.6,A-378,0.0,1.6,0
2854,1,1,Styleissue at payment settings,Bug fixing / Maintenance,Trivial,1.6,A-419,0.0,1.6,1
2861,1,1,Secondary dropdown role not works on viewrole screen,Bug fixing / Maintenance,Trivial,1.6,A-54,0.0,1.6,1
2865,1,1,CopyQuote service return new quote id,Feature / Improvement Implementation,Trivial,1.6,A-311,0.0,1.6,0
2867,1,1,Small improvement to the gitignore file ,Feature / Improvement Implementation,Trivial,1.6,A-106,0.0,1.6,1
2876,1,1,"wrong <key-map> definition for recently introduced entity ""CountryAddressFormat""",Bug fixing / Maintenance,Trivial,1.6,A-36,0.0,1.6,1
2881,1,1,Improvement to error message for ImageManagement ,Feature / Improvement Implementation,Trivial,1.6,A-19,0.0,1.6,1
