issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
ZOOKEEPER-1201,Clean SaslServerCallbackHandler.java,,,,,,,,0,0,784,1,1
ZOOKEEPER-1202,Prevent certain state transitions in Java client on close(); improve exception handling and enhance client testability,,,,,,,,0,0,3940,1,1
ZOOKEEPER-1203,Zookeeper systest is missing Junit Classes ,,,,,,,,0,0,144,1,1
ZOOKEEPER-1204,Shorten calls to ZooTrace,,,,,,,,0,0,3593,1,1
ZOOKEEPER-1205,Add a unit test for Kerberos Ticket-Granting Ticket (TGT) renewal,,,,,,,,0,0,1655,1,1
ZOOKEEPER-1206,Sequential node creation does not use always use digits in node name given certain Locales.,,,,,,,,0,0,835,1,1
ZOOKEEPER-1207,strange ReadOnlyZooKeeperServer ERROR when starting ensemble,,,,,,,,0,0,1571,1,1
ZOOKEEPER-1208,Ephemeral node not removed after the client session is long gone,,,,,,,,0,0,2187,1,1
ZOOKEEPER-1209,"LeaderElection recipe doesn't handle the split-brain issue, n/w disconnection can bring both the client nodes to be in ELECTED",,,,,,,,0,0,205,1,1
ZOOKEEPER-121,SyncRequestProcessor is not closing log stream during shutdown,,,,,,,,0,0,2432,1,1
ZOOKEEPER-1210,Can't build ZooKeeper RPM with RPM >= 4.6.0 (i.e. on RHEL 6 and Fedora >= 10),,,,,,,,0,0,3308,1,1
ZOOKEEPER-1211,C client's package name,,,,,,,,0,0,2869,1,1
ZOOKEEPER-1212,zkServer.sh stop action is not conformat with LSB para 20.2 Init Script Actions,,,,,,,,0,0,3899,1,1
ZOOKEEPER-1213,ZooKeeper server startup fails if configured only with the 'minSessionTimeout' and not 'maxSessionTimeout',,,,,,,,0,0,1559,1,1
ZOOKEEPER-1214,QuorumPeer should unregister only its previsously registered MBeans instead of use MBeanRegistry.unregisterAll() method.,,,,,,,,0,0,1873,1,1
ZOOKEEPER-1215,C client persisted cache,,,,,,,,0,0,3515,1,1
ZOOKEEPER-1216,"Fix more eclipse compiler warnings, also in Tests",,,,,,,,0,0,1183,1,1
ZOOKEEPER-1217,Remove unnecessary MissingSessionException in ZooKeeperServer,,,,,,,,0,0,1953,1,1
ZOOKEEPER-1218,zktreeutil tool enhancement,,,,,,,,0,0,4164,1,1
