from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-1411,ZOOKEEPER-1625,breaks,Regression,outward
ZOOKEEPER-1660,ZOOKEEPER-1411,is depended upon by,dependent,inward
ZOOKEEPER-107,ZOOKEEPER-1411,is depended upon by,dependent,inward
ZOOKEEPER-1408,ZOOKEEPER-1409,is part of,Incorporates,inward
ZOOKEEPER-1409,ZOOKEEPER-271,depends upon,dependent,outward
ZOOKEEPER-1408,ZOOKEEPER-1409,incorporates,Incorporates,outward
ZOOKEEPER-1408,ZOOKEEPER-271,depends upon,dependent,outward
ZOOKEEPER-1483,ZOOKEEPER-1404,is duplicated by,Duplicate,inward
HIVE-2712,ZOOKEEPER-1401,is related to,Reference,inward
ZOOKEEPER-1394,ZOOKEEPER-2618,duplicates,Duplicate,outward
ZOOKEEPER-1394,ZOOKEEPER-1816,relates to,Reference,outward
ZOOKEEPER-2697,ZOOKEEPER-1394,is related to,Reference,inward
ZOOKEEPER-1391,ZOOKEEPER-1307,relates to,Reference,outward
HADOOP-8019,ZOOKEEPER-1386,is related to,Reference,inward
ZOOKEEPER-1383,ZOOKEEPER-3301,relates to,Reference,outward
ZOOKEEPER-1381,ZOOKEEPER-1455,relates to,Reference,outward
ZOOKEEPER-1495,ZOOKEEPER-1381,is related to,Reference,inward
HBASE-6058,ZOOKEEPER-1381,is related to,Reference,inward
ZOOKEEPER-1376,ZOOKEEPER-1012,depends upon,dependent,outward
ZOOKEEPER-1374,ZOOKEEPER-2453,relates to,Reference,outward
ZOOKEEPER-1373,HADOOP-7853,relates to,Reference,outward
HADOOP-7853,ZOOKEEPER-1373,is related to,Reference,inward
ZOOKEEPER-1497,ZOOKEEPER-1373,is related to,Reference,inward
HBASE-4791,ZOOKEEPER-1373,is related to,Reference,inward
ZOOKEEPER-1467,ZOOKEEPER-1373,is related to,Reference,inward
ZOOKEEPER-1373,ZOOKEEPER-938,depends upon,dependent,outward
HIVE-2712,ZOOKEEPER-1373,is depended upon by,dependent,inward
ZOOKEEPER-1371,ZOOKEEPER-2393,relates to,Reference,outward
ZOOKEEPER-1371,ZOOKEEPER-3737,relates to,Reference,outward
ZOOKEEPER-850,ZOOKEEPER-1371,is related to,Reference,inward
ZOOKEEPER-1371,ZOOKEEPER-2342,breaks,Regression,outward
