Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
167,1,2,Add input/output formatters for Vertica clustered ADBMS.,Feature / Improvement Implementation,Major,2.2,A-8307,21.8,24.0,1
1670,1,2,AM unable to release containers,Bug fixing / Maintenance,Major,2.2,A-1298,21.8,24.0,1
1682,1,2,0.20: avoid a busy-loop in ReduceTask scheduling,Feature / Improvement Implementation,Major,2.2,A-5211,21.8,24.0,1
1683,1,2,TestJobHistoryParsing broken,Testing & Verification,Major,2.2,A-948,21.8,24.0,1
1684,1,2,MR AM should not read the username from configuration,Bug fixing / Maintenance,Major,2.2,A-6960,21.8,24.0,1
1687,1,2,bin/mapred queue fails with JobQueueClient ClassNotFoundException,Bug fixing / Maintenance,Major,2.2,A-1301,21.8,24.0,1
1688,1,2,The Watch link on the main page goes to a private video,Bug fixing / Maintenance,Major,2.2,A-794,21.8,24.0,1
169,1,3,A method for finding and tracking jobs from the new API,Design & API Evolution,Major,2.2,A-8336,24.0,26.2,0
1690,1,3,list-active-trackers throws NPE,Bug fixing / Maintenance,Major,2.2,A-782,24.0,26.2,1
1694,1,3,Pending(9) findBugs warnings,Bug fixing / Maintenance,Major,2.2,A-1208,24.0,26.2,1
1695,1,3,Move Log Related components from yarn-server-nodemanager to yarn-common,Design & API Evolution,Major,2.2,A-8460,24.0,26.2,0
1696,1,3,Improvements to the aggregated log format,Feature / Improvement Implementation,Major,2.2,A-689,24.0,26.2,1
170,1,3,Add node health failures into JobTrackerStatistics,Feature / Improvement Implementation,Major,2.2,A-1028,24.0,26.2,1
1705,1,3,Make MR AM not send a stopContainer w/o corresponding start container,Bug fixing / Maintenance,Major,2.2,A-8409,24.0,26.2,1
1706,1,3,Rebooted link is not working properly,Bug fixing / Maintenance,Major,2.2,A-8260,24.0,26.2,1
1707,1,3,Rumen TraceBuilder is emiting null as hostname,Bug fixing / Maintenance,Major,2.2,A-8389,24.0,26.2,1
171,1,3,distcp overrides user-selected job name,Feature / Improvement Implementation,Major,2.2,A-1163,24.0,26.2,1
1710,1,3,Create a better index.html for maven docs,Documentation,Major,2.2,A-1048,24.0,26.2,1
1724,1,3,Remove hardcoded version of mr-app jar from the tests,Testing & Verification,Major,2.2,A-8378,24.0,26.2,0
1726,1,3,Enhance logging of initalized queue limit values,Feature / Improvement Implementation,Major,2.2,A-8434,24.0,26.2,0
1728,1,3,TaskTracker Out of Memory because of distributed cache,Bug fixing / Maintenance,Major,2.2,A-8356,24.0,26.2,1
1729,1,3,o.a.h.mapreduce.Reducer since 0.21 blindly casts to ReduceContext.ValueIterator,Bug fixing / Maintenance,Major,2.2,A-4072,24.0,26.2,1
1730,1,3,Race condition in ResourceManager causing TestContainerManagerSecurity to fail sometimes,Testing & Verification,Major,2.2,A-8335,24.0,26.2,0
1732,1,3,Resource manager is not respawning MRAppMaster process if it goes down in the middle of job execution and the job is getting failed.,Bug fixing / Maintenance,Major,2.2,A-8471,24.0,26.2,0
1733,1,3,mapred job -status fails to give info even if the job is present in History,Bug fixing / Maintenance,Major,2.2,A-8349,24.0,26.2,1
1735,1,3,Separate installation of mapreduce libraries from YARN_HOME,Bug fixing / Maintenance,Major,2.2,A-6436,24.0,26.2,1
1736,1,3,Need a RM->AM channel to inform AMs about faulty/unhealthy/lost nodes,Bug fixing / Maintenance,Major,2.2,A-8272,24.0,26.2,1
174,1,3,Modify TestUserDefinedCounters to use LocalJobRunner instead of MiniMR,Testing & Verification,Major,2.2,A-8358,24.0,26.2,0
1740,1,3,Yarn clients / AM should be able to provide config options to the RM / NM,Design & API Evolution,Major,2.2,A-8478,24.0,26.2,0
1744,1,3,Mapreduce component should use consistent directory structure layout as HDFS/common,Bug fixing / Maintenance,Major,2.2,A-353,24.0,26.2,1
1745,1,3,Consolidate MRv2 maven modules,Build & Release Engineering,Major,2.2,A-8262,24.0,26.2,0
1747,1,3,MiniMRYarnCluster uses a hard coded path location for the MapReduce application jar,Bug fixing / Maintenance,Major,2.2,A-1145,24.0,26.2,1
1749,1,3,HADOOP_PREFIX cannot be overriden,Bug fixing / Maintenance,Major,2.2,A-1096,24.0,26.2,1
175,1,3,Refactor TestReduceFetchFromPartialMem into a separate test ,Testing & Verification,Major,2.2,A-1283,24.0,26.2,1
1750,1,3,"Hadoop scripts unconditionally source ""$bin""/../libexec/hadoop-config.sh.",Bug fixing / Maintenance,Major,2.2,A-247,24.0,26.2,1
1751,1,3,src/c++/task-controller/configure is not set executable in the tarball and that prevents task-controller from rebuilding,Bug fixing / Maintenance,Major,2.2,A-938,24.0,26.2,1
1752,1,3,Old mapred API combiner uses NULL reporter,Bug fixing / Maintenance,Major,2.2,A-797,24.0,26.2,1
