from_issue_key,to_issue_key,link_type,raw_link_type,direction
MAPREDUCE-479,HADOOP-5876,relates to,Reference,outward
HADOOP-6192,MAPREDUCE-478,is blocked by,Blocker,inward
HADOOP-4012,MAPREDUCE-477,is related to,Reference,inward
MAPREDUCE-476,MAPREDUCE-856,blocks,Blocker,outward
MAPREDUCE-711,MAPREDUCE-476,is blocked by,Blocker,inward
MAPREDUCE-476,HADOOP-5174,duplicates,Duplicate,outward
MAPREDUCE-476,HADOOP-6125,incorporates,Incorporates,outward
MAPREDUCE-711,MAPREDUCE-476,is related to,Reference,inward
HADOOP-3582,MAPREDUCE-475,is related to,Reference,inward
MAPREDUCE-471,HADOOP-3608,relates to,Reference,outward
MAPREDUCE-463,MAPREDUCE-1099,relates to,Reference,outward
MAPREDUCE-463,MAPREDUCE-4488,relates to,Reference,outward
MAPREDUCE-463,MAPREDUCE-308,relates to,Reference,outward
HADOOP-5257,MAPREDUCE-461,is related to,Reference,inward
MAPREDUCE-443,MAPREDUCE-460,is related to,Reference,inward
MAPREDUCE-458,HADOOP-288,relates to,Reference,outward
MAPREDUCE-457,MAPREDUCE-443,duplicates,Duplicate,outward
MAPREDUCE-453,HADOOP-3421,blocks,Blocker,outward
MAPREDUCE-453,HADOOP-249,incorporates,Incorporates,outward
MAPREDUCE-443,MAPREDUCE-452,is related to,Reference,inward
MAPREDUCE-302,MAPREDUCE-451,is related to,Reference,inward
MAPREDUCE-447,MAPREDUCE-376,relates to,Reference,outward
MAPREDUCE-445,YARN-2332,duplicates,Duplicate,outward
MAPREDUCE-1332,MAPREDUCE-445,is depended upon by,dependent,inward
MAPREDUCE-457,MAPREDUCE-443,is duplicated by,Duplicate,inward
MAPREDUCE-443,HADOOP-313,relates to,Reference,outward
MAPREDUCE-443,MAPREDUCE-460,relates to,Reference,outward
MAPREDUCE-443,MAPREDUCE-452,relates to,Reference,outward
HADOOP-7001,MAPREDUCE-442,is duplicated by,Duplicate,inward
HADOOP-5191,MAPREDUCE-438,is related to,Reference,inward
MAPREDUCE-437,HDFS-925,relates to,Reference,outward
HADOOP-2681,MAPREDUCE-436,is duplicated by,Duplicate,inward
MAPREDUCE-436,HADOOP-3438,relates to,Reference,outward
HADOOP-2681,MAPREDUCE-436,is related to,Reference,inward
MAPREDUCE-4337,MAPREDUCE-434,is related to,Reference,inward
MAPREDUCE-434,MAPREDUCE-5481,breaks,Regression,outward
MAPREDUCE-434,MAPREDUCE-1367,depends upon,dependent,outward
MAPREDUCE-1172,MAPREDUCE-433,is duplicated by,Duplicate,inward
MAPREDUCE-432,MAPREDUCE-2384,duplicates,Duplicate,outward
MAPREDUCE-2264,MAPREDUCE-428,is duplicated by,Duplicate,inward
HADOOP-2919,MAPREDUCE-427,is duplicated by,Duplicate,inward
HADOOP-4340,MAPREDUCE-421,is related to,Reference,inward
MAPREDUCE-105,MAPREDUCE-420,is duplicated by,Duplicate,inward
HADOOP-2367,MAPREDUCE-420,is related to,Reference,inward
MAPREDUCE-416,MAPREDUCE-276,incorporates,Incorporates,outward
MAPREDUCE-412,HADOOP-2046,relates to,Reference,outward
HDFS-301,MAPREDUCE-406,is related to,Reference,inward
HADOOP-5687,MAPREDUCE-406,is related to,Reference,inward
MAPREDUCE-401,HDFS-197,relates to,Reference,outward
HADOOP-3750,MAPREDUCE-395,is related to,Reference,inward
MAPREDUCE-390,HADOOP-2721,duplicates,Duplicate,outward
MAPREDUCE-2270,MAPREDUCE-379,is cloned by,Cloners,inward
MAPREDUCE-376,HIVE-24,blocks,Blocker,outward
HADOOP-6685,MAPREDUCE-376,is part of,Incorporates,inward
MAPREDUCE-376,HADOOP-4192,relates to,Reference,outward
MAPREDUCE-447,MAPREDUCE-376,is related to,Reference,inward
HADOOP-4203,MAPREDUCE-376,is related to,Reference,inward
HADOOP-10860,MAPREDUCE-376,is related to,Reference,inward
MAPREDUCE-954,MAPREDUCE-372,is blocked by,Blocker,inward
MAPREDUCE-368,MAPREDUCE-358,blocks,Blocker,outward
MAPREDUCE-367,MAPREDUCE-364,blocks,Blocker,outward
MAPREDUCE-367,MAPREDUCE-271,blocks,Blocker,outward
MAPREDUCE-364,MAPREDUCE-367,is part of,Incorporates,inward
MAPREDUCE-366,MAPREDUCE-362,blocks,Blocker,outward
MAPREDUCE-366,MAPREDUCE-1820,relates to,Reference,outward
MAPREDUCE-367,MAPREDUCE-364,is blocked by,Blocker,inward
HADOOP-5759,MAPREDUCE-364,is blocked by,Blocker,inward
MAPREDUCE-364,MAPREDUCE-367,incorporates,Incorporates,outward
MAPREDUCE-364,MAPREDUCE-1112,relates to,Reference,outward
MAPREDUCE-366,MAPREDUCE-362,is blocked by,Blocker,inward
HADOOP-5710,MAPREDUCE-362,is blocked by,Blocker,inward
MAPREDUCE-639,MAPREDUCE-361,is blocked by,Blocker,inward
MAPREDUCE-368,MAPREDUCE-358,is blocked by,Blocker,inward
HADOOP-6103,MAPREDUCE-355,is blocked by,Blocker,inward
MAPREDUCE-353,MAPREDUCE-1249,relates to,Reference,outward
MAPREDUCE-349,MAPREDUCE-351,is related to,Reference,inward
HADOOP-3048,MAPREDUCE-350,is blocked by,Blocker,inward
MAPREDUCE-349,MAPREDUCE-351,relates to,Reference,outward
MAPREDUCE-343,MAPREDUCE-1049,relates to,Reference,outward
MAPREDUCE-342,MAPREDUCE-2826,relates to,Reference,outward
MAPREDUCE-342,HADOOP-1230,relates to,Reference,outward
MAPREDUCE-338,HADOOP-1210,relates to,Reference,outward
MAPREDUCE-5408,MAPREDUCE-336,is cloned by,Cloners,inward
HADOOP-1230,MAPREDUCE-334,is related to,Reference,inward
MAPREDUCE-3673,MAPREDUCE-334,is depended upon by,dependent,inward
MAPREDUCE-3607,MAPREDUCE-334,is depended upon by,dependent,inward
MAPREDUCE-331,MAPREDUCE-177,incorporates,Incorporates,outward
MAPREDUCE-331,MAPREDUCE-291,incorporates,Incorporates,outward
MAPREDUCE-331,MAPREDUCE-1500,depends upon,dependent,outward
MAPREDUCE-331,MAPREDUCE-1316,depends upon,dependent,outward
MAPREDUCE-331,MAPREDUCE-1422,depends upon,dependent,outward
MAPREDUCE-331,MAPREDUCE-289,depends upon,dependent,outward
MAPREDUCE-326,MAPREDUCE-1452,incorporates,Incorporates,outward
MAPREDUCE-323,MAPREDUCE-1988,blocks,Blocker,outward
MAPREDUCE-70,MAPREDUCE-323,is blocked by,Blocker,inward
MAPREDUCE-323,HADOOP-4934,incorporates,Incorporates,outward
MAPREDUCE-1978,MAPREDUCE-323,is related to,Reference,inward
MAPREDUCE-323,MAPREDUCE-2032,requires,Required,outward
MAPREDUCE-1941,MAPREDUCE-323,is depended upon by,dependent,inward
MAPREDUCE-319,HDFS-916,relates to,Reference,outward
MAPREDUCE-318,MAPREDUCE-268,incorporates,Incorporates,outward
HADOOP-2119,MAPREDUCE-315,is blocked by,Blocker,inward
HADOOP-1985,MAPREDUCE-315,is blocked by,Blocker,inward
MAPREDUCE-314,YARN-1963,relates to,Reference,outward
HADOOP-5271,MAPREDUCE-314,is related to,Reference,inward
MAPREDUCE-312,MAPREDUCE-548,relates to,Reference,outward
MAPREDUCE-310,HADOOP-3289,incorporates,Incorporates,outward
MAPREDUCE-463,MAPREDUCE-308,is related to,Reference,inward
MAPREDUCE-302,MAPREDUCE-451,relates to,Reference,outward
MAPREDUCE-302,HADOOP-4305,relates to,Reference,outward
MAPREDUCE-1411,MAPREDUCE-299,is related to,Reference,inward
MAPREDUCE-299,HADOOP-1231,depends upon,dependent,outward
MAPREDUCE-297,MAPREDUCE-279,depends upon,dependent,outward
MAPREDUCE-293,HADOOP-4830,blocks,Blocker,outward
MAPREDUCE-331,MAPREDUCE-291,is part of,Incorporates,inward
MAPREDUCE-291,MAPREDUCE-177,relates to,Reference,outward
MAPREDUCE-1941,MAPREDUCE-291,is depended upon by,dependent,inward
MAPREDUCE-331,MAPREDUCE-289,is depended upon by,dependent,inward
HADOOP-3421,MAPREDUCE-279,is duplicated by,Duplicate,inward
HADOOP-3444,MAPREDUCE-279,is duplicated by,Duplicate,inward
MAPREDUCE-279,YARN-149,incorporates,Incorporates,outward
MAPREDUCE-279,MAPREDUCE-2644,relates to,Reference,outward
MAPREDUCE-279,MAPREDUCE-2630,relates to,Reference,outward
MAPREDUCE-279,YARN-3172,relates to,Reference,outward
MAPREDUCE-279,MAPREDUCE-2719,relates to,Reference,outward
MAPREDUCE-279,PIG-2125,relates to,Reference,outward
MAPREDUCE-279,MAPREDUCE-2639,relates to,Reference,outward
MAPREDUCE-279,MAPREDUCE-2633,relates to,Reference,outward
MAPREDUCE-297,MAPREDUCE-279,is depended upon by,dependent,inward
MAPREDUCE-206,MAPREDUCE-278,is related to,Reference,inward
MAPREDUCE-157,MAPREDUCE-277,is blocked by,Blocker,inward
HADOOP-3245,MAPREDUCE-277,is blocked by,Blocker,inward
MAPREDUCE-416,MAPREDUCE-276,is part of,Incorporates,inward
MAPREDUCE-367,MAPREDUCE-271,is blocked by,Blocker,inward
HADOOP-5691,MAPREDUCE-271,is blocked by,Blocker,inward
MAPREDUCE-318,MAPREDUCE-268,is part of,Incorporates,inward
MAPREDUCE-267,HADOOP-1985,depends upon,dependent,outward
HADOOP-2119,MAPREDUCE-262,is blocked by,Blocker,inward
HADOOP-1266,MAPREDUCE-259,is blocked by,Blocker,inward
MAPREDUCE-2038,MAPREDUCE-259,is duplicated by,Duplicate,inward
HADOOP-1650,MAPREDUCE-258,is blocked by,Blocker,inward
HADOOP-4699,MAPREDUCE-258,is blocked by,Blocker,inward
MAPREDUCE-258,HDFS-916,relates to,Reference,outward
MAPREDUCE-253,HADOOP-5348,depends upon,dependent,outward
HADOOP-3565,MAPREDUCE-252,is blocked by,Blocker,inward
HADOOP-1230,MAPREDUCE-252,is blocked by,Blocker,inward
MAPREDUCE-251,MAPREDUCE-138,relates to,Reference,outward
HADOOP-4173,MAPREDUCE-249,is related to,Reference,inward
MAPREDUCE-181,MAPREDUCE-246,is blocked by,Blocker,inward
MAPREDUCE-245,HADOOP-1230,relates to,Reference,outward
MAPREDUCE-245,HADOOP-2268,relates to,Reference,outward
HADOOP-1650,MAPREDUCE-243,is blocked by,Blocker,inward
HADOOP-7977,MAPREDUCE-243,is depended upon by,dependent,inward
HADOOP-3656,MAPREDUCE-240,is cloned by,Cloners,inward
MAPREDUCE-237,MAPREDUCE-4,depends upon,dependent,outward
MAPREDUCE-237,MAPREDUCE-683,depends upon,dependent,outward
MAPREDUCE-234,HADOOP-4041,relates to,Reference,outward
MAPREDUCE-233,HDFS-326,depends upon,dependent,outward
HADOOP-5102,MAPREDUCE-231,is blocked by,Blocker,inward
HADOOP-3750,MAPREDUCE-231,is blocked by,Blocker,inward
HADOOP-4631,MAPREDUCE-231,is blocked by,Blocker,inward
HADOOP-4868,MAPREDUCE-231,is blocked by,Blocker,inward
HADOOP-5107,MAPREDUCE-231,is blocked by,Blocker,inward
HADOOP-5898,MAPREDUCE-231,is blocked by,Blocker,inward
YARN-149,MAPREDUCE-225,is duplicated by,Duplicate,inward
MAPREDUCE-225,MAPREDUCE-65,incorporates,Incorporates,outward
MAPREDUCE-2288,MAPREDUCE-225,is related to,Reference,inward
MAPREDUCE-225,HADOOP-3245,depends upon,dependent,outward
MAPREDUCE-225,HADOOP-1876,depends upon,dependent,outward
HADOOP-3412,MAPREDUCE-224,is part of,Incorporates,inward
MAPREDUCE-5583,MAPREDUCE-224,is related to,Reference,inward
MAPREDUCE-901,MAPREDUCE-220,is blocked by,Blocker,inward
MAPREDUCE-1762,MAPREDUCE-220,is blocked by,Blocker,inward
MAPREDUCE-220,MAPREDUCE-1167,incorporates,Incorporates,outward
