issue_key,event_time,from_status,to_status
MAPREDUCE-7190,2019-03-08T11:49:16.160000+00:00,Open,Patch Available
MAPREDUCE-7190,2019-04-01T17:38:24.424000+00:00,Patch Available,Resolved
MAPREDUCE-7188,2019-03-01T19:38:08.805000+00:00,Open,Patch Available
MAPREDUCE-7188,2019-03-18T11:47:15.836000+00:00,Patch Available,Resolved
MAPREDUCE-7187,2019-03-01T03:26:26.231000+00:00,Open,Patch Available
MAPREDUCE-7187,2019-03-05T08:26:39.467000+00:00,Patch Available,Open
MAPREDUCE-7187,2019-03-05T08:27:19.397000+00:00,Open,Patch Available
MAPREDUCE-7186,2019-02-21T09:53:21.623000+00:00,Open,Patch Available
MAPREDUCE-7185,2019-02-11T22:52:29.137000+00:00,Open,Patch Available
MAPREDUCE-7185,2019-02-11T23:02:52.850000+00:00,Patch Available,Open
MAPREDUCE-7185,2019-02-11T23:03:04.668000+00:00,Open,Patch Available
MAPREDUCE-7184,2019-02-10T17:35:50.712000+00:00,Open,Patch Available
MAPREDUCE-7184,2019-02-12T15:58:40.186000+00:00,Patch Available,Open
MAPREDUCE-7184,2019-02-27T21:00:31.542000+00:00,Open,Resolved
MAPREDUCE-7183,2019-02-06T23:05:08.875000+00:00,Open,Patch Available
MAPREDUCE-7182,2021-03-11T15:23:42.515000+00:00,Open,Resolved
MAPREDUCE-7179,2019-02-01T02:39:04.074000+00:00,Open,Patch Available
MAPREDUCE-7178,2019-01-26T04:58:05.789000+00:00,Open,Patch Available
MAPREDUCE-7177,2019-02-02T04:32:09.574000+00:00,Open,Patch Available
MAPREDUCE-7177,2019-02-04T05:07:17.881000+00:00,Patch Available,Resolved
MAPREDUCE-7175,2019-01-03T14:08:24.337000+00:00,Open,Resolved
MAPREDUCE-7174,2018-12-29T03:50:56.495000+00:00,Open,Patch Available
MAPREDUCE-7174,2019-01-02T13:47:37.525000+00:00,Patch Available,Resolved
MAPREDUCE-7173,2018-12-20T02:05:27.439000+00:00,Open,Patch Available
MAPREDUCE-7171,2018-12-11T00:46:55.294000+00:00,Open,Patch Available
MAPREDUCE-7170,2018-12-10T14:26:03.222000+00:00,Open,Patch Available
MAPREDUCE-7170,2018-12-13T07:34:25.342000+00:00,Patch Available,Resolved
MAPREDUCE-7169,2019-03-21T12:56:55.856000+00:00,Open,Patch Available
MAPREDUCE-7168,2018-12-01T02:49:09.913000+00:00,Open,Patch Available
MAPREDUCE-7167,2018-11-28T22:38:28.574000+00:00,Open,Patch Available
MAPREDUCE-7167,2018-11-28T23:32:12.838000+00:00,Patch Available,Open
MAPREDUCE-7167,2018-11-28T23:48:13.116000+00:00,Open,Patch Available
MAPREDUCE-7166,2018-11-29T15:05:53.566000+00:00,Open,Patch Available
