issue_key,jira_id,task_id
MAPREDUCE-1200,12440288,419
MAPREDUCE-1205,12440352,420
MAPREDUCE-1212,12440544,421
MAPREDUCE-1213,12440607,422
MAPREDUCE-1216,12440840,423
MAPREDUCE-1218,12440995,424
MAPREDUCE-1219,12441006,425
MAPREDUCE-1221,12441132,426
MAPREDUCE-1222,12441194,427
MAPREDUCE-1223,12441216,428
MAPREDUCE-1224,12441244,429
MAPREDUCE-1226,12441272,430
MAPREDUCE-1227,12441331,431
MAPREDUCE-1228,12441348,432
MAPREDUCE-1229,12441368,433
MAPREDUCE-1408,12446505,433
MAPREDUCE-1230,12441372,434
MAPREDUCE-1231,12441419,435
MAPREDUCE-1232,12441450,436
MAPREDUCE-1234,12441471,437
MAPREDUCE-1235,12441472,438
MAPREDUCE-1239,12441561,439
MAPREDUCE-2868,12519712,439
MAPREDUCE-1241,12441665,440
MAPREDUCE-1243,12441722,441
MAPREDUCE-1615,12459725,441
MAPREDUCE-3216,12527824,441
MAPREDUCE-1244,12441750,442
MAPREDUCE-1245,12441754,443
MAPREDUCE-3438,12532107,443
MAPREDUCE-1246,12441819,444
MAPREDUCE-1251,12441921,445
MAPREDUCE-1249,12441933,446
MAPREDUCE-1250,12441983,447
MAPREDUCE-1254,12442027,448
MAPREDUCE-1255,12442052,449
MAPREDUCE-1258,12442185,450
MAPREDUCE-1260,12442260,451
MAPREDUCE-1265,12442411,452
MAPREDUCE-1267,12442525,453
MAPREDUCE-2958,12522328,453
MAPREDUCE-1268,12442526,454
MAPREDUCE-1281,12442658,455
MAPREDUCE-1271,12442701,456
MAPREDUCE-1276,12442836,457
MAPREDUCE-1279,12442844,458
MAPREDUCE-1284,12442850,459
MAPREDUCE-1285,12442885,460
MAPREDUCE-1287,12442907,461
MAPREDUCE-1289,12443064,462
MAPREDUCE-1993,12470786,462
MAPREDUCE-2050,12473120,462
MAPREDUCE-2122,12476996,462
MAPREDUCE-1291,12443243,463
MAPREDUCE-1316,12443741,463
MAPREDUCE-1293,12443310,464
MAPREDUCE-1862,12466806,464
MAPREDUCE-2359,12500679,464
MAPREDUCE-1294,12443317,465
MAPREDUCE-1295,12443321,466
MAPREDUCE-1297,12443407,467
MAPREDUCE-1301,12443499,468
MAPREDUCE-1302,12443505,469
MAPREDUCE-1303,12443562,470
MAPREDUCE-1304,12443575,471
MAPREDUCE-1305,12443581,472
MAPREDUCE-1306,12443589,473
MAPREDUCE-1307,12443620,474
MAPREDUCE-1309,12443704,475
MAPREDUCE-1310,12443713,476
MAPREDUCE-1311,12443719,477
MAPREDUCE-1312,12443720,477
MAPREDUCE-1313,12443722,478
MAPREDUCE-1314,12443729,479
MAPREDUCE-1317,12443747,480
MAPREDUCE-1321,12443965,481
MAPREDUCE-1322,12443972,482
MAPREDUCE-1370,12445259,482
MAPREDUCE-1323,12443992,483
MAPREDUCE-1324,12443997,484
MAPREDUCE-1329,12444053,484
MAPREDUCE-1326,12444027,485
MAPREDUCE-1327,12444046,486
MAPREDUCE-1331,12444152,487
MAPREDUCE-1335,12444201,488
MAPREDUCE-1336,12444212,489
MAPREDUCE-1337,12444233,490
MAPREDUCE-1339,12444286,491
MAPREDUCE-1340,12444291,492
MAPREDUCE-1341,12444292,493
MAPREDUCE-1342,12444293,494
MAPREDUCE-4359,12595455,494
MAPREDUCE-1344,12444341,495
MAPREDUCE-1345,12444349,496
MAPREDUCE-1346,12444367,497
MAPREDUCE-1348,12444407,498
MAPREDUCE-1349,12444447,499
MAPREDUCE-1350,12444520,500
MAPREDUCE-1351,12444529,501
MAPREDUCE-6532,12909172,501
MAPREDUCE-1352,12444554,502
MAPREDUCE-2486,12506922,502
MAPREDUCE-1354,12444642,503
MAPREDUCE-1356,12444761,504
MAPREDUCE-1358,12444763,505
MAPREDUCE-1359,12444841,506
MAPREDUCE-1361,12444862,507
MAPREDUCE-1363,12444937,508
MAPREDUCE-1364,12444956,509
MAPREDUCE-1365,12444994,510
MAPREDUCE-1367,12445083,511
MAPREDUCE-1369,12445156,512
MAPREDUCE-1371,12445260,513
MAPREDUCE-1372,12445266,514
MAPREDUCE-1373,12445288,515
MAPREDUCE-1377,12445591,516
MAPREDUCE-1378,12445596,517
MAPREDUCE-1379,12445602,518
MAPREDUCE-1381,12445622,519
MAPREDUCE-1383,12445703,520
MAPREDUCE-1384,12445720,521
MAPREDUCE-1385,12445847,522
MAPREDUCE-1386,12445883,523
MAPREDUCE-2940,12521541,523
MAPREDUCE-3705,12539220,523
MAPREDUCE-1389,12445908,524
MAPREDUCE-1390,12446003,525
MAPREDUCE-1392,12446174,526
MAPREDUCE-1394,12446192,527
MAPREDUCE-1395,12446266,528
MAPREDUCE-1397,12446300,529
MAPREDUCE-1398,12446344,530
MAPREDUCE-1399,12446375,531
MAPREDUCE-1400,12446379,532
MAPREDUCE-1403,12446399,533
MAPREDUCE-1404,12446405,534
MAPREDUCE-3099,12524792,534
MAPREDUCE-1405,12446480,535
MAPREDUCE-1406,12446496,536
MAPREDUCE-5323,12652979,536
MAPREDUCE-1407,12446504,537
MAPREDUCE-5292,12650582,537
