from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
MAPREDUCE-2807,MAPREDUCE-2708,blocks,Blocker,outward,MR-279: AM restart does not work after RM refactor,[MR-279] Design and implement MR Application Master recovery,0,0,0
MAPREDUCE-2792,MAPREDUCE-3013,blocks,Blocker,outward,[MR-279] Replace IP addresses with hostnames,Remove YarnConfiguration.YARN_SECURITY_INFO,0,0,0
MAPREDUCE-3050,MAPREDUCE-2790,is blocked by,Blocker,inward,YarnScheduler needs to expose Resource Usage Information,[MR-279] Add additional field for storing the AM/job history info on CLI,0,0,0
MAPREDUCE-3050,MAPREDUCE-2789,is blocked by,Blocker,inward,YarnScheduler needs to expose Resource Usage Information,[MR:279] Update the scheduling info on CLI,0,0,0
MAPREDUCE-2775,MAPREDUCE-3270,blocks,Blocker,outward,[MR-279] Decommissioned node does not shutdown,Decommissioned node not removed from active NM list,0,0,0
MAPREDUCE-2988,MAPREDUCE-2747,is blocked by,Blocker,inward,Reenable TestLinuxContainerExecutor reflecting the current NM code. ,[MR-279] [Security] Cleanup LinuxContainerExecutor binary sources,0,0,0
MAPREDUCE-3036,MAPREDUCE-2738,is blocked by,Blocker,inward,Some of the Resource Manager memory metrics go negative.,Missing cluster level stats on the RM UI,0,0,0
MAPREDUCE-3050,MAPREDUCE-2738,is blocked by,Blocker,inward,YarnScheduler needs to expose Resource Usage Information,Missing cluster level stats on the RM UI,0,0,0
MAPREDUCE-2880,MAPREDUCE-2736,is blocked by,Blocker,inward,Fix classpath construction for MRv2,Remove unused contrib components dependent on MR1,0,0,0
MAPREDUCE-2716,MAPREDUCE-2726,is blocked by,Blocker,inward,MR279: MRReliabilityTest job fails because of missing job-file.,MR-279: Add the jobFile to the web UI,0,0,0
MAPREDUCE-2153,MAPREDUCE-2725,is blocked by,Blocker,inward,Bring in more job configuration properties in to the trace file,Make Gridmix configure job specific config properties for the simulated jobs,0,0,0
MAPREDUCE-2716,MAPREDUCE-2726,blocks,Blocker,outward,MR279: MRReliabilityTest job fails because of missing job-file.,MR-279: Add the jobFile to the web UI,0,0,0
MAPREDUCE-2702,MAPREDUCE-2708,is blocked by,Blocker,inward,[MR-279] OutputCommitter changes for MR Application Master recovery,[MR-279] Design and implement MR Application Master recovery,0,0,0
MAPREDUCE-3233,MAPREDUCE-2708,is blocked by,Blocker,inward,AM fails to restart when first AM is killed,[MR-279] Design and implement MR Application Master recovery,0,0,0
MAPREDUCE-2807,MAPREDUCE-2708,is blocked by,Blocker,inward,MR-279: AM restart does not work after RM refactor,[MR-279] Design and implement MR Application Master recovery,0,0,0
MAPREDUCE-2702,MAPREDUCE-2708,blocks,Blocker,outward,[MR-279] OutputCommitter changes for MR Application Master recovery,[MR-279] Design and implement MR Application Master recovery,0,0,0
MAPREDUCE-2701,MAPREDUCE-2675,blocks,Blocker,outward,MR-279: app/Job.java needs UGI for the user that launched it,MR-279: JobHistory Server main page needs to be reformatted,0,0,0
MAPREDUCE-3146,MAPREDUCE-2696,is blocked by,Blocker,inward,Add a MR specific command line to dump logs for a given TaskAttemptID,Container logs aren't getting cleaned up when LogAggregation is disabled,0,0,0
MAPREDUCE-2677,MAPREDUCE-2675,blocks,Blocker,outward,MR-279: 404 error while accessing pages from history server,MR-279: JobHistory Server main page needs to be reformatted,0,0,0
