assignee_code,Skill_Tag,issue_count,skill_level
A-10181,Bug fixing / Maintenance,32,5
A-10181,Feature / Improvement Implementation,17,4
A-10181,Testing & Verification,14,4
A-10181,Build & Release Engineering,5,2
A-10181,Design & API Evolution,5,2
A-10181,Project / General Task,4,2
A-10181,Documentation,2,1
A-10182,Other,4,2
A-10183,Bug fixing / Maintenance,1,1
A-10183,Feature / Improvement Implementation,1,1
A-10184,Bug fixing / Maintenance,3,2
A-10185,Feature / Improvement Implementation,4,2
A-10185,Bug fixing / Maintenance,3,2
A-10185,Other,2,1
A-10185,Project / General Task,2,1
A-10185,Performance Optimization,1,1
A-10185,Testing & Verification,1,1
A-10186,Design & API Evolution,1,1
A-10187,Performance Optimization,1,1
A-10188,Bug fixing / Maintenance,2,1
A-10188,Feature / Improvement Implementation,1,1
A-10189,Bug fixing / Maintenance,3,2
A-10189,Feature / Improvement Implementation,3,2
A-10189,Other,2,1
A-10189,Build & Release Engineering,1,1
A-1019,Bug fixing / Maintenance,39,5
A-1019,Other,26,5
A-1019,Feature / Improvement Implementation,25,5
A-1019,Testing & Verification,16,4
A-1019,Build & Release Engineering,2,1
A-1019,Documentation,2,1
A-1019,Design & API Evolution,1,1
A-1019,Performance Optimization,1,1
A-1019,Project / General Task,1,1
A-10190,Feature / Improvement Implementation,10,3
A-10190,Other,8,3
A-10190,Bug fixing / Maintenance,6,3
A-10190,Testing & Verification,4,2
A-10190,Project / General Task,2,1
A-10190,Documentation,1,1
A-10191,Other,1,1
A-10192,Feature / Improvement Implementation,1,1
A-10193,Feature / Improvement Implementation,2,1
A-10194,Feature / Improvement Implementation,1,1
A-10195,Project / General Task,1,1
A-10196,Testing & Verification,1,1
A-10197,Feature / Improvement Implementation,1,1
A-10197,Testing & Verification,1,1
A-10198,Bug fixing / Maintenance,2,1
A-10199,Other,1,1
A-102,Bug fixing / Maintenance,1,1
A-102,Feature / Improvement Implementation,1,1
A-1020,Other,165,5
A-1020,Bug fixing / Maintenance,77,5
A-1020,Feature / Improvement Implementation,25,5
A-1020,Testing & Verification,22,5
A-1020,Project / General Task,8,3
A-1020,Documentation,2,1
A-1020,Design & API Evolution,1,1
A-10200,Other,5,2
A-10200,Feature / Improvement Implementation,4,2
A-10200,Bug fixing / Maintenance,3,2
A-10200,Documentation,2,1
A-10200,Testing & Verification,2,1
A-10200,Build & Release Engineering,1,1
A-10201,Bug fixing / Maintenance,1,1
A-10202,Bug fixing / Maintenance,2,1
A-10202,Documentation,1,1
A-10203,Design & API Evolution,1,1
A-10204,Testing & Verification,3,2
A-10204,Feature / Improvement Implementation,2,1
A-10204,Other,2,1
A-10205,Feature / Improvement Implementation,1,1
A-10206,Feature / Improvement Implementation,1,1
A-10207,Bug fixing / Maintenance,1,1
A-10208,Project / General Task,1,1
A-10209,Feature / Improvement Implementation,1,1
A-1021,Bug fixing / Maintenance,152,5
A-1021,Other,111,5
A-1021,Feature / Improvement Implementation,14,4
A-1021,Project / General Task,10,3
A-1021,Testing & Verification,9,3
A-1021,Performance Optimization,2,1
A-1021,Build & Release Engineering,1,1
A-1021,Documentation,1,1
A-10210,Design & API Evolution,1,1
A-10211,Bug fixing / Maintenance,1,1
A-10211,Other,1,1
A-10211,Testing & Verification,1,1
A-10212,Feature / Improvement Implementation,1,1
A-10212,Other,1,1
A-10212,Testing & Verification,1,1
A-10213,Feature / Improvement Implementation,4,2
A-10213,Other,2,1
A-10214,Project / General Task,2,1
A-10214,Testing & Verification,1,1
A-10215,Feature / Improvement Implementation,1,1
A-10216,Feature / Improvement Implementation,1,1
A-10217,Build & Release Engineering,1,1
A-10218,Bug fixing / Maintenance,1,1
A-10218,Other,1,1
A-10219,Other,1,1
A-1022,Bug fixing / Maintenance,2,1
A-1022,Other,2,1
A-1022,Testing & Verification,1,1
A-10220,Other,1,1
A-10221,Feature / Improvement Implementation,1,1
A-10222,Build & Release Engineering,1,1
A-10223,Bug fixing / Maintenance,2,1
A-10223,Feature / Improvement Implementation,1,1
A-10224,Project / General Task,1,1
A-10225,Bug fixing / Maintenance,1,1
A-10225,Feature / Improvement Implementation,1,1
A-10226,Bug fixing / Maintenance,1,1
A-10227,Bug fixing / Maintenance,1,1
A-10228,Feature / Improvement Implementation,26,5
A-10228,Design & API Evolution,13,4
A-10228,Bug fixing / Maintenance,8,3
A-10228,Build & Release Engineering,3,2
A-10228,Code Refactoring & Cleanup,3,2
A-10228,Project / General Task,3,2
A-10228,Other,2,1
A-10229,Bug fixing / Maintenance,17,4
A-10229,Feature / Improvement Implementation,6,3
A-10229,Design & API Evolution,3,2
A-10229,Build & Release Engineering,1,1
A-1023,Other,25,5
